batch_id,latency
1,13
2,14
3,14
4,13
5,12
6,13
7,13
8,13
9,12
10,14
11,13
12,14
13,12
14,13
15,12
16,13
17,12
18,13
19,13
20,13
21,13
22,13
23,12
24,13
25,13
26,13
27,12
28,42
29,13
30,13
31,12
32,13
33,14
34,15
35,13
36,13
37,12
38,13
39,13
40,13
41,14
42,14
43,14
44,13
45,58
46,63
47,61
48,61
49,57
50,56
51,59
52,40
53,39
54,39
55,47
56,38
57,44
58,42
59,23
60,54
61,14
62,13
63,12
64,13
65,12
66,13
67,12
68,14
69,13
70,13
71,12
72,15
73,14
74,13
75,13
76,13
77,67
78,66
79,72
80,67
81,67
82,61
83,62
84,64
85,64
86,54
87,56
88,54
89,54
90,53
91,49
92,82
93,13
94,13
95,13
96,13
97,13
98,15
99,15
100,14
101,14
102,14
103,17
104,15
105,15
106,16
107,15
108,12
109,82
110,85
111,76
112,75
113,81
114,80
115,85
116,81
117,81
118,67
119,67
120,68
121,65
122,68
123,55
124,91
125,15
126,15
127,15
128,13
129,13
130,13
131,13
132,12
133,13
134,14
135,13
136,13
137,15
138,14
139,13
140,13
141,85
142,81
143,80
144,80
145,82
146,76
147,79
148,75
149,88
150,67
151,70
152,70
153,73
154,75
155,71
156,104
157,15
158,13
159,13
160,14
161,13
162,12
163,15
164,13
165,13
166,12
167,14
168,12
169,14
170,14
171,13
172,12
173,104
174,97
175,95
176,101
177,97
178,99
179,101
180,82
181,84
182,81
183,77
184,80
185,76
186,78
187,72
188,108
189,16
190,15
191,15
192,15
193,19
194,17
195,15
196,15
197,14
198,14
199,18
200,15
201,15
202,15
203,15
204,16
205,114
206,109
207,106
208,104
209,108
210,102
211,102
212,101
213,103
214,106
215,96
216,101
217,101
218,100
219,92
220,117
221,15
222,16
223,17
224,15
225,15
226,15
227,15
228,16
229,16
230,15
231,17
232,16
233,16
234,16
235,15
236,17
237,114
238,108
239,113
240,106
241,112
242,104
243,106
244,106
245,105
246,105
247,99
248,106
249,102
250,108
251,97
252,133
253,14
254,16
255,16
256,13
257,14
258,15
259,13
260,12
261,13
262,12
263,15
264,15
265,14
266,13
267,16
268,15
269,116
270,110
271,107
272,106
273,117
274,109
275,103
276,112
277,111
278,101
279,103
280,107
281,105
282,102
283,99
284,134
285,13
286,13
287,12
288,13
289,12
290,13
291,13
292,13
293,13
294,13
295,13
296,12
297,12
298,13
299,13
300,13
301,116
302,114
303,113
304,112
305,113
306,109
307,107
308,106
309,108
310,110
311,102
312,99
313,103
314,100
315,103
316,140
317,15
318,14
319,13
320,13
321,12
322,13
323,13
324,14
325,13
326,13
327,13
328,13
329,13
330,17
331,15
332,13
333,117
334,112
335,112
336,114
337,115
338,112
339,106
340,112
341,107
342,99
343,105
344,102
345,102
346,98
347,100
348,135
349,14
350,12
351,13
352,13
353,13
354,12
355,13
356,12
357,14
358,14
359,13
360,13
361,14
362,13
363,14
364,13
365,117
366,116
367,110
368,120
369,115
370,105
371,104
372,108
373,107
374,97
375,98
376,92
377,100
378,98
379,101
380,131
381,14
382,13
383,13
384,12
385,13
386,12
387,13
388,13
389,13
390,13
391,13
392,13
393,13
394,13
395,13
396,13
397,117
398,115
399,114
400,116
401,118
402,124
403,108
404,109
405,107
406,103
407,99
408,101
409,105
410,99
411,96
412,135
413,16
414,15
415,15
416,15
417,15
418,14
419,15
420,13
421,16
422,15
423,15
424,14
425,14
426,13
427,14
428,13
429,118
430,110
431,112
432,107
433,115
434,107
435,111
436,103
437,109
438,100
439,99
440,91
441,94
442,99
443,97
444,137
445,14
446,13
447,13
448,12
449,13
450,12
451,13
452,13
453,13
454,13
455,13
456,12
457,14
458,12
459,13
460,13
461,117
462,104
463,108
464,113
465,115
466,109
467,108
468,108
469,109
470,97
471,97
472,99
473,103
474,100
475,102
476,134
477,14
478,13
479,13
480,12
481,13
482,12
483,13
484,13
485,13
486,13
487,13
488,12
489,13
490,13
491,13
492,12
493,122
494,110
495,115
496,126
497,111
498,104
499,114
500,105
501,103
502,100
503,101
504,100
505,98
506,97
507,101
508,139
509,16
510,14
511,13
512,13
513,13
514,13
515,13
516,13
517,16
518,14
519,13
520,13
521,14
522,15
523,13
524,14
525,125
526,116
527,113
528,122
529,112
530,114
531,117
532,107
533,107
534,104
535,102
536,106
537,100
538,106
539,101
540,142
541,13
542,13
543,12
544,13
545,12
546,13
547,12
548,13
549,13
550,13
551,13
552,13
553,14
554,14
555,13
556,13
557,121
558,119
559,118
560,118
561,120
562,112
563,112
564,119
565,112
566,99
567,103
568,102
569,102
570,99
571,103
572,140
573,43
574,35
575,26
576,27
577,26
578,27
579,29
580,27
581,26
582,26
583,26
584,27
585,27
586,26
587,25
588,25
589,127
590,120
591,121
592,122
593,119
594,117
595,119
596,106
597,105
598,100
599,106
600,103
601,101
602,103
603,101
604,135
605,48
606,47
607,36
608,35
609,34
610,35
611,35
612,37
613,36
614,35
615,38
616,36
617,36
618,35
619,34
620,38
621,127
622,118
623,122
624,123
625,122
626,116
627,113
628,112
