batch_id,latency
1,14
2,14
3,14
4,13
5,14
6,14
7,14
8,12
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,63
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,8
44,8
45,9
46,9
47,9
48,9
49,9
50,9
51,9
52,8
53,8
54,8
55,8
56,8
57,8
58,8
59,8
60,62
61,8
62,8
63,8
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,8
73,8
74,8
75,8
76,8
77,13
78,12
79,12
80,12
81,12
82,12
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,12
91,10
92,64
93,8
94,8
95,8
96,8
97,8
98,8
99,8
100,8
101,8
102,8
103,8
104,8
105,8
106,8
107,8
108,8
109,14
110,14
111,14
112,14
113,14
114,14
115,14
116,12
117,12
118,12
119,12
120,12
121,12
122,12
123,12
124,66
125,8
126,8
127,8
128,8
129,8
130,8
131,8
132,8
133,8
134,8
135,8
136,8
137,8
138,8
139,8
140,8
141,15
142,15
143,15
144,15
145,15
146,15
147,15
148,15
149,14
150,14
151,15
152,14
153,14
154,14
155,13
156,67
157,8
158,8
159,8
160,8
161,8
162,8
163,8
164,8
165,8
166,8
167,8
168,8
169,8
170,8
171,8
172,8
173,17
174,17
175,17
176,17
177,17
178,17
179,16
180,16
181,15
182,15
183,15
184,15
185,15
186,16
187,15
188,68
189,8
190,8
191,8
192,8
193,8
194,8
195,8
196,8
197,8
198,8
199,8
200,8
201,8
202,8
203,8
204,8
205,18
206,17
207,18
208,17
209,16
210,16
211,16
212,16
213,16
214,16
215,16
216,16
217,17
218,16
219,15
220,69
221,8
222,8
223,8
224,7
225,8
226,8
227,8
228,8
229,8
230,8
231,8
232,8
233,8
234,8
235,8
236,8
237,19
238,20
239,19
240,19
241,18
242,19
243,18
244,17
245,17
246,17
247,17
248,17
249,17
250,17
251,16
252,71
253,8
254,8
255,8
256,8
257,8
258,7
259,8
260,8
261,8
262,8
263,8
264,8
265,8
266,8
267,8
268,8
269,20
270,19
271,19
272,19
273,19
274,19
275,19
276,19
277,18
278,19
279,18
280,19
281,18
282,19
283,18
284,71
285,8
286,8
287,8
288,8
289,8
290,8
291,8
292,8
293,8
294,8
295,8
296,8
297,8
298,8
299,8
300,8
301,20
302,20
303,20
304,20
305,19
306,20
307,19
308,19
309,18
310,19
311,18
312,18
313,18
314,18
315,18
316,72
317,8
318,8
319,8
320,8
321,8
322,8
323,8
324,9
325,8
326,8
327,8
328,8
329,8
330,8
331,8
332,8
333,21
334,20
335,20
336,22
337,19
338,20
339,18
340,19
341,18
342,18
343,18
344,18
345,18
346,17
347,18
348,71
349,8
350,8
351,8
352,8
353,8
354,8
355,8
356,8
357,8
358,8
359,8
360,8
361,8
362,8
363,8
364,8
365,21
366,20
367,20
368,20
369,19
370,19
371,18
372,19
373,18
374,18
375,18
376,18
377,18
378,18
379,18
380,72
381,8
382,8
383,8
384,8
385,8
386,8
387,8
388,8
389,8
390,8
391,8
392,8
393,8
394,8
395,8
396,8
397,22
398,20
399,20
400,20
401,19
402,20
403,19
404,19
405,18
406,19
407,18
408,18
409,18
410,18
411,18
412,73
413,8
414,8
415,8
416,8
417,8
418,8
419,8
420,8
421,8
422,8
423,8
424,8
425,8
426,8
427,8
428,8
429,22
430,20
431,20
432,20
433,18
