version,name,part,key_size,elements,wall_time,cpu_cycles,k_cycles,instructions,cache_references,cache_misses,branch_misses,ipc,GHZ,CPUs,maxrss_mb,scale
baseline,Account.id,swap,16,16378,0.00,1.49,0.97,1.48,0.05,0.01,-nan,0.99,16.27,0.30,34731,16378
baseline,Account.user_data_128,swap,32,16378,0.00,46.70,0.82,180.29,3.40,0.05,-nan,3.86,5.59,4.28,34731,16378
baseline,Account.user_data_64,swap,16,16378,0.00,41.52,0.78,155.67,1.73,0.03,-nan,3.75,5.59,4.19,34731,16378
baseline,Account.user_data_32,swap,16,16378,0.00,41.29,0.77,155.58,1.68,0.00,-nan,3.77,5.59,4.32,34731,16378
baseline,Account.ledger,swap,16,16378,0.00,0.93,0.74,1.48,0.02,0.00,-nan,1.59,17.48,0.29,34731,16378
baseline,Account.code,swap,16,16378,0.00,0.91,0.73,1.48,0.02,0.00,-nan,1.63,17.85,0.28,34731,16378
baseline,Account,swap,8,233717,0.01,264.17,0.74,648.09,95.51,2.66,1.05,2.45,5.36,1.00,34731,233717
baseline,Transfer.id,swap,16,221103,0.00,0.10,0.08,0.11,0.01,0.00,-nan,1.09,15.25,0.08,34731,221103
baseline,Transfer.debit_account_id,swap,32,221103,0.01,136.27,0.72,521.64,21.48,0.64,1.93,3.83,5.30,1.00,34731,221103
baseline,Transfer.credit_account_id,swap,32,221103,0.01,131.17,0.31,520.39,18.52,0.72,1.95,3.97,5.29,1.00,34731,221103
baseline,Transfer.amount,swap,32,221103,0.01,146.90,0.38,519.62,21.25,0.64,2.37,3.54,5.27,1.01,34731,221103
baseline,Transfer.user_data_128,swap,32,221103,0.01,160.87,0.56,511.93,21.99,0.66,2.56,3.18,5.26,1.00,34731,221103
baseline,Transfer.user_data_64,swap,16,221103,0.01,138.16,0.44,458.25,9.25,0.23,2.80,3.32,5.26,1.00,34731,221103
baseline,Transfer.user_data_32,swap,16,221103,0.01,139.76,0.43,460.94,9.31,0.23,2.87,3.30,5.27,1.00,34731,221103
baseline,Transfer.ledger,swap,16,221103,0.00,0.08,0.06,0.11,0.00,0.00,-nan,1.43,17.46,0.07,34731,221103
baseline,Transfer.code,swap,16,221103,0.01,136.78,0.48,459.49,9.29,0.23,2.83,3.36,5.27,1.00,34731,221103
baseline,Transfer,swap,8,221103,0.00,0.07,0.06,0.11,0.00,0.00,-nan,1.48,16.13,0.07,34731,221103
baseline,AccountEvent,swap,8,221103,0.00,0.07,0.05,0.11,0.00,0.00,-nan,1.58,15.62,0.08,34731,221103
baseline,AccountEvent.transfer_pending_status,swap,16,221103,0.00,0.07,0.05,0.11,0.00,0.00,-nan,1.65,16.81,0.07,34731,221103
baseline,AccountEvent.prunable,swap,8,221103,0.00,0.07,0.05,0.11,0.00,0.00,-nan,1.64,16.58,0.07,34731,221103
baseline,Account,absorb,8,258087,0.02,326.34,1.15,737.37,117.94,3.68,1.20,2.26,5.32,1.01,34731,258087
baseline,Transfer.id,swap,16,262048,0.00,0.07,0.05,0.09,0.00,0.00,-nan,1.31,16.83,0.06,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,121.91,0.37,441.37,18.33,0.67,1.95,3.62,5.30,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,116.72,0.45,441.20,16.99,0.53,1.91,3.78,5.28,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,141.53,0.58,434.31,19.04,0.47,2.67,3.07,5.26,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,149.35,0.50,433.68,19.44,0.52,2.86,2.90,5.26,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.18,0.41,381.99,8.24,0.18,2.92,2.91,5.28,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,132.26,0.42,381.37,8.48,0.22,2.83,2.88,5.28,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.54,16.85,0.07,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.69,0.47,386.41,8.53,0.17,2.81,3.00,5.28,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.53,17.77,0.30,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.63,16.49,0.23,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.62,17.39,inf,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.07,0.06,0.09,0.00,0.00,-nan,1.38,15.85,inf,34731,262048
baseline,Account,absorb,8,258138,0.02,313.60,1.21,704.48,117.19,3.25,1.14,2.25,5.36,1.01,34731,258138
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.42,14.40,0.24,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,120.02,0.45,445.44,18.80,0.54,1.93,3.71,5.29,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,116.35,0.39,444.81,16.94,0.58,1.88,3.82,5.28,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,132.83,0.52,439.90,19.06,0.52,2.44,3.31,5.26,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.44,0.45,434.59,18.91,0.58,2.86,2.93,5.26,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.60,0.46,382.80,8.66,0.19,2.79,2.91,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.23,0.41,384.02,8.59,0.18,2.92,2.93,5.27,1.01,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.56,16.68,0.23,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.60,0.49,384.72,8.73,0.19,2.62,2.99,5.28,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.52,16.57,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.59,15.38,0.08,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.66,16.60,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,16.93,0.07,34731,262048
baseline,Account,absorb,8,257897,0.02,380.03,1.37,748.04,115.50,3.10,1.21,1.97,5.34,1.02,34731,257897
baseline,Transfer.id,swap,16,262048,0.00,0.07,0.05,0.09,0.00,0.00,-nan,1.30,16.93,inf,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,119.10,0.42,437.22,18.08,0.46,1.75,3.67,5.26,1.05,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,114.58,0.38,435.12,15.21,0.72,1.74,3.80,5.25,1.09,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,135.43,0.41,440.21,18.99,0.67,2.28,3.25,5.26,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.34,0.39,433.56,19.14,0.61,2.83,2.92,5.25,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.63,0.32,384.62,8.28,0.17,2.91,2.92,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.82,0.41,382.58,8.64,0.19,2.79,2.90,5.27,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.53,17.53,0.07,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.10,0.37,383.48,8.42,0.17,2.81,2.99,5.27,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.50,16.08,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.48,14.72,0.22,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.62,17.00,0.07,34731,262048
